PCMPEQW_m_xmm;Lp_m_x.tmp;16;PCMPEQW;m128;xmm;;
PCMPGTB_m_xmm;Lp_m_x.tmp;16;PCMPGTB;m128;xmm;;
PCMPGTD_m_xmm;Lp_m_x.tmp;16;PCMPGTD;m128;xmm;;
PCMPGTQ_m_xmm;Lp_m_x.tmp;16;PCMPGTQ;m128;xmm;;
PCMPGTW_m_xmm;Lp_m_x.tmp;16;PCMPGTW;m128;xmm;;
PHADDD_m_xmm;Lp_m_x.tmp;16;PHADDD;m128;xmm;;
PHADDSW_m_xmm;Lp_m_x.tmp;16;PHADDSW;m128;xmm;;
PHADDW_m_xmm;Lp_m_x.tmp;16;PHADDW;m128;xmm;;
PHMINPOSUW_m_xmm;Lp_m_x.tmp;16;PHMINPOSUW;m128;xmm;;
PHSUBD_m_xmm;Lp_m_x.tmp;16;PHSUBD;m128;xmm;;
PHSUBSW_m_xmm;Lp_m_x.tmp;16;PHSUBSW;m128;xmm;;
PHSUBW_m_xmm;Lp_m_x.tmp;16;PHSUBW;m128;xmm;;
PMADDUBSW_m_xmm;Lp_m_x.tmp;16;PMADDUBSW;m128;xmm;;
PMADDWD_m_xmm;Lp_m_x.tmp;16;PMADDWD;m128;xmm;;
PMAXSB_m_xmm;Lp_m_x.tmp;16;PMAXSB;m128;xmm;;
PMAXSD_m_xmm;Lp_m_x.tmp;16;PMAXSD;m128;xmm;;
PMAXSW_m_xmm;Lp_m_x.tmp;16;PMAXSW;m128;xmm;;
PMAXUB_m_xmm;Lp_m_x.tmp;16;PMAXUB;m128;xmm;;
PMAXUD_m_xmm;Lp_m_x.tmp;16;PMAXUD;m128;xmm;;
PMAXUW_m_xmm;Lp_m_x.tmp;16;PMAXUW;m128;xmm;;
PMINSB_m_xmm;Lp_m_x.tmp;16;PMINSB;m128;xmm;;
PMINSD_m_xmm;Lp_m_x.tmp;16;PMINSD;m128;xmm;;
PMINSW_m_xmm;Lp_m_x.tmp;16;PMINSW;m128;xmm;;
PMINUB_m_xmm;Lp_m_x.tmp;16;PMINUB;m128;xmm;;
PMINUD_m_xmm;Lp_m_x.tmp;16;PMINUD;m128;xmm;;
PMINUW_m_xmm;Lp_m_x.tmp;16;PMINUW;m128;xmm;;
PMULDQ_m_xmm;Lp_m_x.tmp;16;PMULDQ;m128;xmm;;
PMULHRSW_m_xmm;Lp_m_x.tmp;16;PMULHRSW;m128;xmm;;
PMULHUW_m_xmm;Lp_m_x.tmp;16;PMULHUW;m128;xmm;;
PMULHW_m_xmm;Lp_m_x.tmp;16;PMULHW;m128;xmm;;
PMULLW_m_xmm;Lp_m_x.tmp;16;PMULLW;m128;xmm;;
PMULUDQ_m_xmm;Lp_m_x.tmp;16;PMULUDQ;m128;xmm;;
POR_m_xmm;Lp_m_x.tmp;16;POR;m128;xmm;;
PSADBW_m_xmm;Lp_m_x.tmp;16;PSADBW;m128;xmm;;
PSHUFB_m_xmm;Lp_m_x.tmp;16;PSHUFB;m128;xmm;;
PSIGNB_m_xmm;Lp_m_x.tmp;16;PSIGNB;m128;xmm;;
PSIGND_m_xmm;Lp_m_x.tmp;16;PSIGND;m128;xmm;;
PSIGNW_m_xmm;Lp_m_x.tmp;16;PSIGNW;m128;xmm;;
PSLLD_m_xmm;Lp_m_x.tmp;16;PSLLD;m128;xmm;;
